"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_hertz"
2026-07-29 04:05:00,17.5 MiB,8.66 MiB,7.95 MiB,98.4 MiB,190 MiB,180 MiB,178 MiB,181 MiB,307 MiB,295 MiB,124 MiB,
2026-07-29 04:05:15,17.7 MiB,8.11 MiB,8.46 MiB,98.4 MiB,192 MiB,180 MiB,174 MiB,173 MiB,305 MiB,291 MiB,119 MiB,
2026-07-29 04:05:30,19.0 MiB,8.67 MiB,8.17 MiB,98.4 MiB,188 MiB,173 MiB,178 MiB,175 MiB,306 MiB,297 MiB,119 MiB,
2026-07-29 04:05:45,18.7 MiB,8.67 MiB,8.61 MiB,98.4 MiB,193 MiB,173 MiB,179 MiB,175 MiB,310 MiB,299 MiB,119 MiB,
2026-07-29 04:06:00,18.2 MiB,8.30 MiB,8.61 MiB,98.4 MiB,177 MiB,183 MiB,179 MiB,174 MiB,311 MiB,306 MiB,119 MiB,
2026-07-29 04:06:15,20.8 MiB,8.54 MiB,8.39 MiB,98.4 MiB,206 MiB,173 MiB,172 MiB,174 MiB,328 MiB,309 MiB,119 MiB,
2026-07-29 04:06:30,20.8 MiB,8.37 MiB,8.73 MiB,98.5 MiB,182 MiB,172 MiB,174 MiB,177 MiB,303 MiB,296 MiB,119 MiB,
2026-07-29 04:06:45,18.7 MiB,8.84 MiB,8.31 MiB,98.5 MiB,192 MiB,172 MiB,185 MiB,173 MiB,313 MiB,298 MiB,119 MiB,
2026-07-29 04:07:00,17.9 MiB,8.31 MiB,8.31 MiB,98.5 MiB,181 MiB,179 MiB,177 MiB,170 MiB,312 MiB,298 MiB,119 MiB,
2026-07-29 04:07:15,18.7 MiB,8.52 MiB,8.28 MiB,98.5 MiB,192 MiB,174 MiB,170 MiB,175 MiB,312 MiB,300 MiB,95.5 MiB,
2026-07-29 04:07:30,18.8 MiB,8.19 MiB,8.23 MiB,98.5 MiB,184 MiB,174 MiB,183 MiB,175 MiB,323 MiB,304 MiB,95.7 MiB,
2026-07-29 04:07:45,18.3 MiB,8.40 MiB,8.77 MiB,98.5 MiB,189 MiB,179 MiB,179 MiB,177 MiB,315 MiB,302 MiB,95.7 MiB,
2026-07-29 04:08:00,21.1 MiB,8.40 MiB,8.19 MiB,98.5 MiB,195 MiB,184 MiB,180 MiB,177 MiB,318 MiB,309 MiB,95.7 MiB,
2026-07-29 04:08:15,16.1 MiB,8.28 MiB,8.21 MiB,98.5 MiB,189 MiB,170 MiB,180 MiB,178 MiB,318 MiB,310 MiB,95.9 MiB,
2026-07-29 04:08:30,18.5 MiB,8.82 MiB,8.75 MiB,98.5 MiB,193 MiB,170 MiB,183 MiB,187 MiB,317 MiB,306 MiB,96.8 MiB,
2026-07-29 04:08:45,19.4 MiB,7.90 MiB,8.87 MiB,98.5 MiB,183 MiB,180 MiB,183 MiB,186 MiB,311 MiB,302 MiB,96.9 MiB,
2026-07-29 04:09:00,17.7 MiB,7.90 MiB,8.87 MiB,98.5 MiB,183 MiB,180 MiB,175 MiB,181 MiB,313 MiB,302 MiB,91.8 MiB,
