"Time","cadvisor","compassionate_colden","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","reverent_euclid"
2026-07-30 01:13:45,22.3 MiB,,8.42 MiB,7.99 MiB,116 MiB,168 MiB,166 MiB,166 MiB,166 MiB,309 MiB,303 MiB,96.8 MiB,
2026-07-30 01:14:00,20.5 MiB,,8.45 MiB,8.04 MiB,116 MiB,171 MiB,165 MiB,169 MiB,166 MiB,312 MiB,304 MiB,96.9 MiB,
2026-07-30 01:14:15,19.4 MiB,,8.15 MiB,8.04 MiB,116 MiB,172 MiB,165 MiB,169 MiB,169 MiB,312 MiB,305 MiB,96.9 MiB,
2026-07-30 01:14:30,20.6 MiB,,8.00 MiB,8.81 MiB,116 MiB,171 MiB,161 MiB,168 MiB,167 MiB,312 MiB,309 MiB,102 MiB,
2026-07-30 01:14:45,21.3 MiB,,8.57 MiB,10.5 MiB,116 MiB,173 MiB,166 MiB,171 MiB,174 MiB,312 MiB,319 MiB,102 MiB,
2026-07-30 01:15:00,21.3 MiB,,9.04 MiB,8.43 MiB,116 MiB,173 MiB,173 MiB,175 MiB,171 MiB,304 MiB,291 MiB,102 MiB,
2026-07-30 01:15:15,21.3 MiB,,8.66 MiB,8.43 MiB,116 MiB,182 MiB,173 MiB,174 MiB,171 MiB,309 MiB,291 MiB,102 MiB,
2026-07-30 01:15:30,19.5 MiB,,8.60 MiB,8.50 MiB,116 MiB,173 MiB,167 MiB,174 MiB,168 MiB,309 MiB,294 MiB,102 MiB,
2026-07-30 01:15:45,23.3 MiB,,8.52 MiB,9.52 MiB,116 MiB,180 MiB,169 MiB,177 MiB,168 MiB,333 MiB,296 MiB,102 MiB,
2026-07-30 01:16:00,21.4 MiB,,8.66 MiB,8.59 MiB,116 MiB,176 MiB,169 MiB,170 MiB,171 MiB,323 MiB,302 MiB,102 MiB,
2026-07-30 01:16:15,22.5 MiB,,8.71 MiB,8.44 MiB,116 MiB,173 MiB,168 MiB,169 MiB,168 MiB,323 MiB,304 MiB,102 MiB,
2026-07-30 01:16:30,19.6 MiB,,8.36 MiB,8.66 MiB,116 MiB,177 MiB,168 MiB,169 MiB,175 MiB,311 MiB,306 MiB,102 MiB,
2026-07-30 01:16:45,19.6 MiB,,8.60 MiB,8.66 MiB,116 MiB,175 MiB,165 MiB,176 MiB,165 MiB,308 MiB,306 MiB,102 MiB,
2026-07-30 01:17:00,20.8 MiB,,8.90 MiB,9.41 MiB,116 MiB,175 MiB,163 MiB,168 MiB,173 MiB,312 MiB,303 MiB,102 MiB,
2026-07-30 01:17:15,20.8 MiB,,8.54 MiB,8.73 MiB,116 MiB,182 MiB,166 MiB,174 MiB,170 MiB,327 MiB,304 MiB,102 MiB,
2026-07-30 01:17:30,21.0 MiB,,8.55 MiB,8.73 MiB,116 MiB,179 MiB,164 MiB,171 MiB,169 MiB,316 MiB,307 MiB,102 MiB,
2026-07-30 01:17:45,20.7 MiB,,8.64 MiB,8.43 MiB,116 MiB,175 MiB,168 MiB,168 MiB,169 MiB,318 MiB,309 MiB,102 MiB,
2026-07-30 01:18:00,20.7 MiB,,8.46 MiB,8.43 MiB,116 MiB,179 MiB,167 MiB,170 MiB,171 MiB,327 MiB,311 MiB,102 MiB,
2026-07-30 01:18:15,19.4 MiB,,8.63 MiB,8.80 MiB,116 MiB,175 MiB,167 MiB,173 MiB,176 MiB,327 MiB,311 MiB,102 MiB,
2026-07-30 01:18:30,21.0 MiB,,8.63 MiB,9.13 MiB,116 MiB,189 MiB,171 MiB,178 MiB,177 MiB,310 MiB,304 MiB,102 MiB,
2026-07-30 01:18:45,20.8 MiB,,8.58 MiB,8.44 MiB,116 MiB,177 MiB,169 MiB,173 MiB,173 MiB,316 MiB,304 MiB,102 MiB,
2026-07-30 01:19:00,23.3 MiB,,10.4 MiB,9.32 MiB,116 MiB,177 MiB,172 MiB,173 MiB,172 MiB,334 MiB,305 MiB,102 MiB,
2026-07-30 01:19:15,19.2 MiB,,10.4 MiB,9.32 MiB,116 MiB,181 MiB,170 MiB,181 MiB,172 MiB,315 MiB,307 MiB,96.0 MiB,
