"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","nervous_moore","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:55:00,18.4 MiB,8.07 MiB,8.52 MiB,99.4 MiB,,162 MiB,158 MiB,153 MiB,159 MiB,277 MiB,270 MiB,92.9 MiB
2026-07-30 03:55:15,18.7 MiB,8.37 MiB,8.38 MiB,99.4 MiB,,160 MiB,160 MiB,158 MiB,157 MiB,266 MiB,256 MiB,92.9 MiB
2026-07-30 03:55:30,18.7 MiB,8.37 MiB,8.11 MiB,99.4 MiB,,160 MiB,157 MiB,153 MiB,157 MiB,270 MiB,263 MiB,99.0 MiB
2026-07-30 03:55:45,20.3 MiB,7.86 MiB,8.11 MiB,99.4 MiB,,161 MiB,158 MiB,155 MiB,157 MiB,269 MiB,263 MiB,106 MiB
2026-07-30 03:56:00,21.7 MiB,8.92 MiB,8.03 MiB,99.4 MiB,,160 MiB,158 MiB,156 MiB,160 MiB,268 MiB,266 MiB,106 MiB
2026-07-30 03:56:15,19.7 MiB,8.13 MiB,7.82 MiB,99.4 MiB,,161 MiB,155 MiB,156 MiB,158 MiB,268 MiB,268 MiB,107 MiB
2026-07-30 03:56:30,20.3 MiB,8.13 MiB,7.70 MiB,99.4 MiB,,162 MiB,155 MiB,156 MiB,158 MiB,263 MiB,268 MiB,113 MiB
2026-07-30 03:56:45,21.7 MiB,7.62 MiB,9.03 MiB,99.4 MiB,,162 MiB,164 MiB,154 MiB,159 MiB,282 MiB,268 MiB,113 MiB
2026-07-30 03:57:00,20.7 MiB,7.62 MiB,8.91 MiB,99.4 MiB,,162 MiB,161 MiB,154 MiB,159 MiB,271 MiB,277 MiB,110 MiB
2026-07-30 03:57:15,21.9 MiB,8.75 MiB,8.91 MiB,99.3 MiB,,159 MiB,160 MiB,154 MiB,163 MiB,292 MiB,277 MiB,110 MiB
2026-07-30 03:57:30,20.5 MiB,8.65 MiB,9.17 MiB,99.2 MiB,,159 MiB,163 MiB,157 MiB,163 MiB,282 MiB,293 MiB,110 MiB
