"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dreamy_ardinghelli","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 01:54:15,23.0 MiB,8.03 MiB,7.91 MiB,,116 MiB,152 MiB,150 MiB,151 MiB,150 MiB,286 MiB,269 MiB,93.1 MiB
2026-07-30 01:54:30,20.1 MiB,7.83 MiB,8.11 MiB,,116 MiB,154 MiB,151 MiB,151 MiB,150 MiB,286 MiB,269 MiB,93.2 MiB
2026-07-30 01:54:45,19.5 MiB,8.02 MiB,8.28 MiB,,116 MiB,151 MiB,151 MiB,152 MiB,153 MiB,286 MiB,269 MiB,93.2 MiB
2026-07-30 01:55:00,20.2 MiB,7.76 MiB,7.84 MiB,,116 MiB,152 MiB,151 MiB,150 MiB,153 MiB,293 MiB,275 MiB,93.2 MiB
2026-07-30 01:55:15,22.6 MiB,7.76 MiB,7.81 MiB,,116 MiB,152 MiB,151 MiB,152 MiB,151 MiB,293 MiB,275 MiB,92.9 MiB
2026-07-30 01:55:30,19.7 MiB,8.21 MiB,7.64 MiB,,116 MiB,165 MiB,151 MiB,151 MiB,151 MiB,285 MiB,268 MiB,92.9 MiB
2026-07-30 01:55:45,19.5 MiB,7.86 MiB,8.03 MiB,,116 MiB,165 MiB,151 MiB,152 MiB,151 MiB,292 MiB,268 MiB,92.9 MiB
2026-07-30 01:56:00,19.5 MiB,8.16 MiB,7.79 MiB,,116 MiB,155 MiB,151 MiB,152 MiB,152 MiB,287 MiB,271 MiB,93.4 MiB
2026-07-30 01:56:15,20.0 MiB,7.82 MiB,7.64 MiB,,116 MiB,157 MiB,151 MiB,152 MiB,153 MiB,287 MiB,271 MiB,93.4 MiB
2026-07-30 01:56:30,19.8 MiB,7.98 MiB,7.70 MiB,,116 MiB,164 MiB,152 MiB,153 MiB,153 MiB,289 MiB,275 MiB,93.4 MiB
2026-07-30 01:56:45,18.2 MiB,7.98 MiB,7.57 MiB,,116 MiB,156 MiB,152 MiB,153 MiB,152 MiB,289 MiB,266 MiB,93.4 MiB
2026-07-30 01:57:00,20.1 MiB,8.05 MiB,7.45 MiB,,116 MiB,156 MiB,153 MiB,153 MiB,152 MiB,282 MiB,266 MiB,93.4 MiB
2026-07-30 01:57:15,20.1 MiB,7.99 MiB,8.01 MiB,,116 MiB,160 MiB,154 MiB,152 MiB,152 MiB,282 MiB,266 MiB,93.4 MiB
2026-07-30 01:57:30,19.9 MiB,8.11 MiB,7.85 MiB,,116 MiB,170 MiB,154 MiB,152 MiB,152 MiB,303 MiB,286 MiB,93.4 MiB
2026-07-30 01:57:45,19.9 MiB,8.05 MiB,7.85 MiB,,116 MiB,172 MiB,164 MiB,167 MiB,163 MiB,303 MiB,287 MiB,93.4 MiB
2026-07-30 01:58:00,18.8 MiB,8.41 MiB,8.09 MiB,,116 MiB,174 MiB,165 MiB,169 MiB,163 MiB,305 MiB,288 MiB,93.4 MiB
2026-07-30 01:58:15,19.4 MiB,8.48 MiB,9.14 MiB,,116 MiB,174 MiB,165 MiB,168 MiB,162 MiB,310 MiB,292 MiB,99.0 MiB
2026-07-30 01:58:30,18.7 MiB,8.05 MiB,7.80 MiB,,116 MiB,171 MiB,164 MiB,170 MiB,162 MiB,310 MiB,293 MiB,98.8 MiB
2026-07-30 01:58:45,18.0 MiB,8.36 MiB,7.93 MiB,,116 MiB,173 MiB,163 MiB,170 MiB,166 MiB,312 MiB,293 MiB,98.8 MiB
2026-07-30 01:59:00,18.3 MiB,8.09 MiB,8.49 MiB,,116 MiB,172 MiB,162 MiB,165 MiB,164 MiB,310 MiB,294 MiB,98.7 MiB
2026-07-30 01:59:15,22.0 MiB,7.92 MiB,8.66 MiB,,116 MiB,171 MiB,166 MiB,167 MiB,162 MiB,309 MiB,296 MiB,98.7 MiB
