"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","inspiring_mirzakhani","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 04:34:15,19.1 MiB,8.06 MiB,6.93 MiB,98.8 MiB,,114 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,98.9 MiB
2026-07-29 04:34:30,19.1 MiB,7.87 MiB,6.93 MiB,98.8 MiB,,112 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,98.9 MiB
2026-07-29 04:34:45,17.9 MiB,8.09 MiB,6.93 MiB,98.8 MiB,,112 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,99.6 MiB
2026-07-29 04:35:00,21.3 MiB,8.17 MiB,6.93 MiB,98.8 MiB,,112 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,99.7 MiB
2026-07-29 04:35:15,17.6 MiB,7.92 MiB,6.93 MiB,98.8 MiB,,112 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,99.7 MiB
2026-07-29 04:35:30,18.2 MiB,8 MiB,6.93 MiB,98.8 MiB,,112 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,100 MiB
2026-07-29 04:35:45,21.9 MiB,7.89 MiB,6.93 MiB,98.8 MiB,,112 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,113 MiB
2026-07-29 04:36:00,21.9 MiB,8.03 MiB,6.93 MiB,98.8 MiB,,112 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,112 MiB
2026-07-29 04:36:15,14.7 MiB,8.05 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,176 MiB,112 MiB
2026-07-29 04:36:30,14.7 MiB,8.05 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,176 MiB,112 MiB
2026-07-29 04:36:45,18.5 MiB,7.95 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,176 MiB,112 MiB
2026-07-29 04:37:00,18.6 MiB,7.79 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,262 MiB,176 MiB,112 MiB
2026-07-29 04:37:15,20.1 MiB,7.79 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,177 MiB,112 MiB
2026-07-29 04:37:30,20.1 MiB,7.96 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,112 MiB
2026-07-29 04:37:45,17.5 MiB,7.96 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,178 MiB,112 MiB
2026-07-29 04:38:00,18.0 MiB,7.59 MiB,6.93 MiB,99.0 MiB,,111 MiB,95.3 MiB,98.8 MiB,97.8 MiB,262 MiB,178 MiB,112 MiB
2026-07-29 04:38:15,18.0 MiB,7.95 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,262 MiB,178 MiB,100 MiB
2026-07-29 04:38:30,17.8 MiB,8.01 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,176 MiB,100 MiB
2026-07-29 04:38:45,17.8 MiB,8.06 MiB,6.93 MiB,99.0 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,176 MiB,100 MiB
2026-07-29 04:39:00,19.0 MiB,8.01 MiB,6.93 MiB,98.9 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,262 MiB,176 MiB,100 MiB
2026-07-29 04:39:15,19.4 MiB,8 MiB,6.93 MiB,98.9 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,176 MiB,100 MiB
2026-07-29 04:39:30,18.6 MiB,8 MiB,6.93 MiB,98.9 MiB,,110 MiB,95.3 MiB,98.8 MiB,97.8 MiB,263 MiB,176 MiB,100 MiB
2026-07-29 04:39:45,17.2 MiB,7.96 MiB,6.93 MiB,98.9 MiB,,111 MiB,95.3 MiB,98.8 MiB,97.8 MiB,260 MiB,176 MiB,100 MiB
2026-07-29 04:40:00,18.9 MiB,7.78 MiB,6.93 MiB,98.9 MiB,,111 MiB,95.3 MiB,98.8 MiB,97.8 MiB,260 MiB,176 MiB,101 MiB
2026-07-29 04:40:15,18.9 MiB,7.91 MiB,6.93 MiB,98.9 MiB,,111 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,98.2 MiB
2026-07-29 04:40:30,18.7 MiB,8.20 MiB,6.93 MiB,98.9 MiB,,111 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,98.2 MiB
2026-07-29 04:40:45,18.2 MiB,8.08 MiB,6.93 MiB,98.9 MiB,,111 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,98.8 MiB
2026-07-29 04:41:00,18.7 MiB,7.91 MiB,6.93 MiB,98.9 MiB,,111 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 04:41:15,19.8 MiB,7.85 MiB,6.93 MiB,99.0 MiB,,111 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 04:41:30,18.1 MiB,7.85 MiB,6.93 MiB,99.0 MiB,,111 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,106 MiB
2026-07-29 04:41:45,17.6 MiB,7.73 MiB,6.93 MiB,99.0 MiB,,111 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,107 MiB
2026-07-29 04:42:00,17.6 MiB,7.57 MiB,6.93 MiB,98.9 MiB,,120 MiB,95.3 MiB,98.6 MiB,97.8 MiB,260 MiB,177 MiB,107 MiB
2026-07-29 04:42:15,18.8 MiB,7.57 MiB,8.07 MiB,98.9 MiB,,120 MiB,116 MiB,123 MiB,137 MiB,278 MiB,251 MiB,98.8 MiB
2026-07-29 04:42:30,19.0 MiB,7.82 MiB,8.44 MiB,98.9 MiB,,163 MiB,148 MiB,123 MiB,152 MiB,278 MiB,278 MiB,99.1 MiB
2026-07-29 04:42:45,19.5 MiB,7.69 MiB,8.12 MiB,98.9 MiB,,179 MiB,148 MiB,156 MiB,152 MiB,282 MiB,281 MiB,99.1 MiB
2026-07-29 04:43:00,17.3 MiB,7.80 MiB,7.89 MiB,98.9 MiB,,187 MiB,165 MiB,166 MiB,173 MiB,283 MiB,281 MiB,99.1 MiB
2026-07-29 04:43:15,18.4 MiB,7.72 MiB,7.84 MiB,98.9 MiB,,186 MiB,171 MiB,174 MiB,169 MiB,283 MiB,281 MiB,99.1 MiB
2026-07-29 04:43:30,17.8 MiB,8.14 MiB,7.96 MiB,98.8 MiB,,186 MiB,171 MiB,173 MiB,173 MiB,283 MiB,281 MiB,99.8 MiB
2026-07-29 04:43:45,17.9 MiB,7.96 MiB,8.11 MiB,98.8 MiB,,184 MiB,171 MiB,173 MiB,173 MiB,284 MiB,281 MiB,99.8 MiB
2026-07-29 04:44:00,18.3 MiB,7.96 MiB,8.18 MiB,98.8 MiB,,184 MiB,172 MiB,173 MiB,174 MiB,284 MiB,283 MiB,99.8 MiB
2026-07-29 04:44:15,19.4 MiB,7.79 MiB,8.21 MiB,98.8 MiB,,186 MiB,174 MiB,168 MiB,174 MiB,284 MiB,284 MiB,99.8 MiB
2026-07-29 04:44:30,19.4 MiB,7.64 MiB,7.83 MiB,98.8 MiB,,185 MiB,167 MiB,168 MiB,165 MiB,286 MiB,284 MiB,99.4 MiB
2026-07-29 04:44:45,17.2 MiB,7.61 MiB,7.97 MiB,98.9 MiB,,185 MiB,167 MiB,171 MiB,167 MiB,286 MiB,284 MiB,99.4 MiB
2026-07-29 04:45:00,17.1 MiB,7.69 MiB,8.25 MiB,98.9 MiB,,186 MiB,167 MiB,173 MiB,169 MiB,293 MiB,289 MiB,99.4 MiB
2026-07-29 04:45:15,18.0 MiB,7.76 MiB,8.08 MiB,98.9 MiB,,187 MiB,167 MiB,173 MiB,169 MiB,293 MiB,291 MiB,99.4 MiB
2026-07-29 04:45:30,18.0 MiB,7.90 MiB,8.08 MiB,98.9 MiB,,187 MiB,167 MiB,173 MiB,170 MiB,293 MiB,291 MiB,99.4 MiB
2026-07-29 04:45:45,18.0 MiB,7.90 MiB,8.17 MiB,98.9 MiB,,178 MiB,168 MiB,173 MiB,170 MiB,293 MiB,291 MiB,99.4 MiB
2026-07-29 04:46:00,20.6 MiB,7.86 MiB,8.17 MiB,98.9 MiB,,179 MiB,166 MiB,174 MiB,171 MiB,293 MiB,291 MiB,99.5 MiB
2026-07-29 04:46:15,19.7 MiB,7.84 MiB,7.86 MiB,98.9 MiB,,179 MiB,167 MiB,175 MiB,171 MiB,291 MiB,291 MiB,87.1 MiB
2026-07-29 04:46:30,17.6 MiB,8.04 MiB,7.86 MiB,98.9 MiB,,177 MiB,167 MiB,176 MiB,171 MiB,291 MiB,293 MiB,87.2 MiB
2026-07-29 04:46:45,18.3 MiB,8.04 MiB,7.77 MiB,98.9 MiB,,179 MiB,167 MiB,179 MiB,171 MiB,291 MiB,294 MiB,87.2 MiB
2026-07-29 04:47:00,18.4 MiB,7.70 MiB,7.77 MiB,99.2 MiB,,179 MiB,167 MiB,180 MiB,171 MiB,292 MiB,294 MiB,87.2 MiB
2026-07-29 04:47:15,19.5 MiB,7.83 MiB,7.82 MiB,99.2 MiB,,179 MiB,167 MiB,180 MiB,168 MiB,294 MiB,294 MiB,87.2 MiB
2026-07-29 04:47:30,18.0 MiB,7.83 MiB,8.11 MiB,99.2 MiB,,178 MiB,170 MiB,171 MiB,168 MiB,294 MiB,299 MiB,93.9 MiB
2026-07-29 04:47:45,18.0 MiB,7.93 MiB,7.99 MiB,99.2 MiB,,179 MiB,170 MiB,167 MiB,174 MiB,296 MiB,299 MiB,93.9 MiB
2026-07-29 04:48:00,18.1 MiB,7.93 MiB,8.63 MiB,99.2 MiB,,183 MiB,163 MiB,172 MiB,168 MiB,296 MiB,295 MiB,93.9 MiB
2026-07-29 04:48:15,18.8 MiB,8.46 MiB,8.43 MiB,99.2 MiB,,185 MiB,169 MiB,178 MiB,170 MiB,293 MiB,295 MiB,93.0 MiB
2026-07-29 04:48:30,19.0 MiB,7.80 MiB,8.00 MiB,99.1 MiB,,177 MiB,163 MiB,178 MiB,177 MiB,299 MiB,295 MiB,93.0 MiB
2026-07-29 04:48:45,20.9 MiB,7.67 MiB,8.58 MiB,99.1 MiB,,180 MiB,169 MiB,174 MiB,171 MiB,297 MiB,295 MiB,93.0 MiB
2026-07-29 04:49:00,20.0 MiB,8.19 MiB,8.80 MiB,99.1 MiB,,191 MiB,169 MiB,174 MiB,177 MiB,299 MiB,299 MiB,93.1 MiB
2026-07-29 04:49:15,20.0 MiB,8.13 MiB,8.43 MiB,99.1 MiB,,184 MiB,173 MiB,184 MiB,178 MiB,299 MiB,297 MiB,93.1 MiB
2026-07-29 04:49:30,19.8 MiB,8.10 MiB,8.39 MiB,99.1 MiB,,184 MiB,173 MiB,175 MiB,178 MiB,306 MiB,300 MiB,93.2 MiB
2026-07-29 04:49:45,18.1 MiB,8.10 MiB,8.88 MiB,99.1 MiB,,186 MiB,172 MiB,179 MiB,175 MiB,300 MiB,301 MiB,93.2 MiB
2026-07-29 04:50:00,19.4 MiB,8.50 MiB,8.22 MiB,99.1 MiB,,186 MiB,172 MiB,174 MiB,180 MiB,300 MiB,301 MiB,93.3 MiB
2026-07-29 04:50:15,21.3 MiB,8.18 MiB,8.21 MiB,99.1 MiB,,180 MiB,175 MiB,173 MiB,163 MiB,300 MiB,301 MiB,90.8 MiB
2026-07-29 04:50:30,21.3 MiB,8.18 MiB,8.15 MiB,99.1 MiB,,180 MiB,170 MiB,177 MiB,166 MiB,307 MiB,306 MiB,91.8 MiB
2026-07-29 04:50:45,17.4 MiB,8.10 MiB,8.33 MiB,99.1 MiB,,185 MiB,174 MiB,173 MiB,174 MiB,301 MiB,306 MiB,91.8 MiB
2026-07-29 04:51:00,17.4 MiB,7.94 MiB,8.33 MiB,99.1 MiB,,183 MiB,173 MiB,176 MiB,174 MiB,301 MiB,300 MiB,92.9 MiB
2026-07-29 04:51:15,18.6 MiB,8.10 MiB,8.34 MiB,99.1 MiB,,180 MiB,172 MiB,176 MiB,175 MiB,299 MiB,300 MiB,92.9 MiB
2026-07-29 04:51:30,17.3 MiB,8.41 MiB,8.34 MiB,99.1 MiB,,180 MiB,172 MiB,175 MiB,181 MiB,303 MiB,300 MiB,93.8 MiB
2026-07-29 04:51:45,17.6 MiB,8.50 MiB,8.38 MiB,99.1 MiB,,180 MiB,175 MiB,173 MiB,175 MiB,303 MiB,300 MiB,93.8 MiB
2026-07-29 04:52:00,20.2 MiB,8.52 MiB,8.04 MiB,99.1 MiB,,177 MiB,175 MiB,172 MiB,168 MiB,299 MiB,300 MiB,100 MiB
2026-07-29 04:52:15,18.0 MiB,8.22 MiB,8.53 MiB,99.1 MiB,,173 MiB,170 MiB,172 MiB,171 MiB,301 MiB,302 MiB,100 MiB
