"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","heuristic_jennings","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 00:09:15,20.2 MiB,15.5 MiB,15.7 MiB,116 MiB,900 KiB,267 MiB,232 MiB,249 MiB,232 MiB,446 MiB,424 MiB,101 MiB
2026-07-29 00:09:30,19.6 MiB,15.7 MiB,16.1 MiB,116 MiB,900 KiB,283 MiB,247 MiB,249 MiB,248 MiB,453 MiB,424 MiB,101 MiB
2026-07-29 00:09:45,20.4 MiB,15.3 MiB,16.1 MiB,116 MiB,900 KiB,283 MiB,263 MiB,258 MiB,266 MiB,453 MiB,431 MiB,101 MiB
2026-07-29 00:10:00,19.5 MiB,15.6 MiB,16.1 MiB,116 MiB,900 KiB,295 MiB,269 MiB,270 MiB,262 MiB,462 MiB,445 MiB,101 MiB
2026-07-29 00:10:15,19.5 MiB,15.6 MiB,16.1 MiB,116 MiB,900 KiB,295 MiB,269 MiB,273 MiB,262 MiB,468 MiB,450 MiB,101 MiB
2026-07-29 00:10:30,19.8 MiB,15.4 MiB,15.6 MiB,116 MiB,900 KiB,301 MiB,269 MiB,275 MiB,265 MiB,476 MiB,461 MiB,101 MiB
2026-07-29 00:10:45,19.5 MiB,15.8 MiB,16.1 MiB,116 MiB,900 KiB,301 MiB,276 MiB,285 MiB,277 MiB,488 MiB,469 MiB,97.6 MiB
2026-07-29 00:11:00,20.9 MiB,15.7 MiB,16.1 MiB,116 MiB,900 KiB,316 MiB,279 MiB,285 MiB,283 MiB,495 MiB,477 MiB,97.6 MiB
2026-07-29 00:11:15,21.8 MiB,15.7 MiB,16.0 MiB,116 MiB,900 KiB,325 MiB,290 MiB,296 MiB,283 MiB,503 MiB,478 MiB,97.6 MiB
2026-07-29 00:11:30,19.6 MiB,15.5 MiB,16.1 MiB,116 MiB,900 KiB,316 MiB,304 MiB,304 MiB,308 MiB,503 MiB,496 MiB,97.6 MiB
2026-07-29 00:11:45,19.6 MiB,15.5 MiB,16.2 MiB,116 MiB,900 KiB,124 MiB,127 MiB,135 MiB,132 MiB,510 MiB,194 MiB,97.6 MiB
2026-07-29 00:12:00,20.4 MiB,7.40 MiB,7.60 MiB,116 MiB,900 KiB,139 MiB,129 MiB,136 MiB,132 MiB,201 MiB,197 MiB,99.6 MiB
2026-07-29 00:12:15,21.4 MiB,7.43 MiB,7.37 MiB,116 MiB,,153 MiB,130 MiB,142 MiB,141 MiB,213 MiB,202 MiB,102 MiB
2026-07-29 00:12:30,16.7 MiB,7.66 MiB,7.37 MiB,116 MiB,,162 MiB,155 MiB,142 MiB,141 MiB,213 MiB,211 MiB,102 MiB
2026-07-29 00:12:45,20.6 MiB,7.66 MiB,7.61 MiB,116 MiB,,171 MiB,155 MiB,145 MiB,142 MiB,218 MiB,211 MiB,102 MiB
2026-07-29 00:13:00,19.9 MiB,7.93 MiB,7.61 MiB,116 MiB,,172 MiB,155 MiB,159 MiB,159 MiB,226 MiB,218 MiB,102 MiB
2026-07-29 00:13:15,20.2 MiB,7.51 MiB,7.84 MiB,116 MiB,,172 MiB,156 MiB,159 MiB,164 MiB,226 MiB,232 MiB,102 MiB
2026-07-29 00:13:30,19.3 MiB,7.61 MiB,7.09 MiB,116 MiB,,170 MiB,157 MiB,162 MiB,165 MiB,228 MiB,232 MiB,102 MiB
2026-07-29 00:13:45,19.8 MiB,7.61 MiB,7.39 MiB,116 MiB,,175 MiB,158 MiB,165 MiB,165 MiB,231 MiB,232 MiB,102 MiB
2026-07-29 00:14:00,19.8 MiB,7.81 MiB,7.45 MiB,116 MiB,,173 MiB,164 MiB,158 MiB,165 MiB,231 MiB,232 MiB,102 MiB
2026-07-29 00:14:15,19.0 MiB,7.55 MiB,7.45 MiB,116 MiB,,173 MiB,165 MiB,158 MiB,169 MiB,236 MiB,233 MiB,102 MiB
2026-07-29 00:14:30,20.8 MiB,7.26 MiB,7.96 MiB,116 MiB,,175 MiB,165 MiB,164 MiB,171 MiB,236 MiB,233 MiB,87.2 MiB
2026-07-29 00:14:45,19.6 MiB,8.25 MiB,8.44 MiB,116 MiB,,180 MiB,175 MiB,165 MiB,167 MiB,242 MiB,243 MiB,87.2 MiB
2026-07-29 00:15:00,20.1 MiB,7.73 MiB,7.50 MiB,116 MiB,,180 MiB,174 MiB,175 MiB,172 MiB,242 MiB,244 MiB,94.9 MiB
2026-07-29 00:15:15,20.2 MiB,7.52 MiB,7.50 MiB,116 MiB,,174 MiB,167 MiB,171 MiB,163 MiB,244 MiB,244 MiB,95.0 MiB
2026-07-29 00:15:30,20.7 MiB,8.40 MiB,8.07 MiB,116 MiB,,173 MiB,174 MiB,163 MiB,171 MiB,250 MiB,245 MiB,95.0 MiB
2026-07-29 00:15:45,20.9 MiB,7.65 MiB,8.03 MiB,116 MiB,,177 MiB,169 MiB,169 MiB,171 MiB,253 MiB,247 MiB,96.0 MiB
2026-07-29 00:16:00,22.9 MiB,7.65 MiB,7.39 MiB,116 MiB,,173 MiB,166 MiB,171 MiB,173 MiB,253 MiB,249 MiB,96.0 MiB
2026-07-29 00:16:15,23.2 MiB,7.63 MiB,7.55 MiB,116 MiB,,173 MiB,172 MiB,171 MiB,164 MiB,250 MiB,253 MiB,103 MiB
2026-07-29 00:16:30,23.2 MiB,7.63 MiB,7.55 MiB,116 MiB,,192 MiB,176 MiB,177 MiB,165 MiB,248 MiB,253 MiB,103 MiB
2026-07-29 00:16:45,18.0 MiB,7.96 MiB,8.33 MiB,116 MiB,,186 MiB,187 MiB,180 MiB,178 MiB,252 MiB,253 MiB,103 MiB
2026-07-29 00:17:00,22.6 MiB,7.82 MiB,7.64 MiB,117 MiB,,185 MiB,187 MiB,178 MiB,172 MiB,246 MiB,255 MiB,103 MiB
2026-07-29 00:17:15,21.8 MiB,7.82 MiB,7.80 MiB,117 MiB,,184 MiB,172 MiB,175 MiB,180 MiB,249 MiB,257 MiB,103 MiB
2026-07-29 00:17:30,21.8 MiB,7.72 MiB,7.80 MiB,116 MiB,,184 MiB,172 MiB,170 MiB,174 MiB,249 MiB,261 MiB,103 MiB
2026-07-29 00:17:45,19.6 MiB,7.71 MiB,7.80 MiB,116 MiB,,185 MiB,172 MiB,171 MiB,173 MiB,254 MiB,256 MiB,103 MiB
2026-07-29 00:18:00,22.6 MiB,8.24 MiB,7.91 MiB,116 MiB,,180 MiB,174 MiB,170 MiB,177 MiB,253 MiB,260 MiB,94.5 MiB
2026-07-29 00:18:15,20.8 MiB,8.24 MiB,7.91 MiB,116 MiB,,179 MiB,182 MiB,170 MiB,177 MiB,259 MiB,260 MiB,94.5 MiB
2026-07-29 00:18:30,20.8 MiB,8.68 MiB,7.54 MiB,116 MiB,,179 MiB,182 MiB,171 MiB,175 MiB,256 MiB,260 MiB,96.2 MiB
2026-07-29 00:18:45,20.3 MiB,7.89 MiB,7.86 MiB,116 MiB,,186 MiB,177 MiB,169 MiB,175 MiB,257 MiB,262 MiB,96.3 MiB
2026-07-29 00:19:00,20.3 MiB,7.98 MiB,7.93 MiB,116 MiB,,186 MiB,177 MiB,172 MiB,164 MiB,258 MiB,265 MiB,96.4 MiB
2026-07-29 00:19:15,25.1 MiB,7.88 MiB,7.86 MiB,116 MiB,,180 MiB,179 MiB,182 MiB,164 MiB,285 MiB,270 MiB,100 MiB
2026-07-29 00:19:30,17.3 MiB,8.98 MiB,8.45 MiB,116 MiB,,183 MiB,180 MiB,168 MiB,168 MiB,285 MiB,278 MiB,100 MiB
2026-07-29 00:19:45,21.6 MiB,8.42 MiB,9.34 MiB,116 MiB,,183 MiB,180 MiB,173 MiB,168 MiB,270 MiB,279 MiB,100 MiB
2026-07-29 00:20:00,20.0 MiB,9.27 MiB,7.84 MiB,116 MiB,,192 MiB,179 MiB,179 MiB,166 MiB,286 MiB,289 MiB,101 MiB
2026-07-29 00:20:15,21.5 MiB,9.27 MiB,7.84 MiB,116 MiB,,177 MiB,175 MiB,173 MiB,173 MiB,277 MiB,289 MiB,101 MiB
2026-07-29 00:20:30,19.7 MiB,9.48 MiB,8.72 MiB,116 MiB,,195 MiB,180 MiB,186 MiB,177 MiB,298 MiB,298 MiB,102 MiB
2026-07-29 00:20:45,19.7 MiB,9.48 MiB,8.32 MiB,116 MiB,,184 MiB,180 MiB,186 MiB,177 MiB,284 MiB,298 MiB,103 MiB
2026-07-29 00:21:00,20.5 MiB,9.20 MiB,9.13 MiB,116 MiB,,199 MiB,174 MiB,182 MiB,173 MiB,289 MiB,287 MiB,103 MiB
2026-07-29 00:21:15,20.2 MiB,8.50 MiB,8.18 MiB,116 MiB,,194 MiB,198 MiB,183 MiB,179 MiB,285 MiB,288 MiB,105 MiB
2026-07-29 00:21:30,19.9 MiB,8.61 MiB,8.11 MiB,116 MiB,,196 MiB,198 MiB,183 MiB,173 MiB,312 MiB,288 MiB,105 MiB
2026-07-29 00:21:45,21.6 MiB,9.25 MiB,8.66 MiB,116 MiB,,207 MiB,182 MiB,175 MiB,183 MiB,289 MiB,302 MiB,105 MiB
2026-07-29 00:22:00,20.3 MiB,9.25 MiB,9.20 MiB,116 MiB,,195 MiB,200 MiB,166 MiB,183 MiB,289 MiB,298 MiB,96.6 MiB
2026-07-29 00:22:15,20.1 MiB,9.33 MiB,9.92 MiB,116 MiB,,211 MiB,191 MiB,192 MiB,180 MiB,342 MiB,297 MiB,98.6 MiB
2026-07-29 00:22:30,20.1 MiB,8.56 MiB,8.86 MiB,116 MiB,,211 MiB,188 MiB,192 MiB,175 MiB,293 MiB,298 MiB,98.7 MiB
2026-07-29 00:22:45,23.3 MiB,9.21 MiB,8.73 MiB,116 MiB,,197 MiB,189 MiB,184 MiB,177 MiB,299 MiB,296 MiB,98.7 MiB
2026-07-29 00:23:00,20.1 MiB,8.97 MiB,8.07 MiB,116 MiB,,181 MiB,177 MiB,178 MiB,177 MiB,303 MiB,298 MiB,98.7 MiB
2026-07-29 00:23:15,20.3 MiB,10.1 MiB,9.12 MiB,116 MiB,,188 MiB,187 MiB,173 MiB,177 MiB,303 MiB,292 MiB,98.7 MiB
2026-07-29 00:23:30,20.3 MiB,8.55 MiB,8.71 MiB,116 MiB,,206 MiB,201 MiB,188 MiB,183 MiB,307 MiB,297 MiB,98.7 MiB
2026-07-29 00:23:45,19.7 MiB,8.21 MiB,8.83 MiB,116 MiB,,185 MiB,189 MiB,184 MiB,175 MiB,307 MiB,297 MiB,98.7 MiB
2026-07-29 00:24:00,20.7 MiB,8.81 MiB,8.83 MiB,116 MiB,,198 MiB,189 MiB,174 MiB,175 MiB,296 MiB,293 MiB,104 MiB
2026-07-29 00:24:15,20.0 MiB,8.46 MiB,8.38 MiB,116 MiB,,181 MiB,176 MiB,180 MiB,181 MiB,288 MiB,293 MiB,104 MiB
2026-07-29 00:24:30,20.9 MiB,8.59 MiB,8.38 MiB,116 MiB,,182 MiB,176 MiB,180 MiB,181 MiB,288 MiB,293 MiB,104 MiB
2026-07-29 00:24:45,20.3 MiB,8.59 MiB,8.38 MiB,116 MiB,,183 MiB,176 MiB,180 MiB,181 MiB,285 MiB,293 MiB,104 MiB
2026-07-29 00:25:00,20.3 MiB,8.67 MiB,8.38 MiB,116 MiB,,183 MiB,176 MiB,180 MiB,181 MiB,262 MiB,293 MiB,104 MiB
2026-07-29 00:25:15,20.6 MiB,8.50 MiB,8.38 MiB,116 MiB,,183 MiB,176 MiB,180 MiB,181 MiB,262 MiB,293 MiB,104 MiB
2026-07-29 00:25:30,16.4 MiB,8.50 MiB,8.38 MiB,116 MiB,,183 MiB,176 MiB,180 MiB,181 MiB,262 MiB,293 MiB,104 MiB
2026-07-29 00:25:45,21.4 MiB,8.55 MiB,8.38 MiB,116 MiB,,183 MiB,176 MiB,180 MiB,181 MiB,262 MiB,293 MiB,104 MiB
2026-07-29 00:26:00,19.8 MiB,9.00 MiB,8.38 MiB,116 MiB,,183 MiB,176 MiB,180 MiB,181 MiB,262 MiB,293 MiB,82.6 MiB
2026-07-29 00:26:15,19.8 MiB,8.65 MiB,8.38 MiB,116 MiB,,165 MiB,176 MiB,180 MiB,116 MiB,262 MiB,196 MiB,82.6 MiB
2026-07-29 00:26:30,16.8 MiB,8.57 MiB,7.77 MiB,117 MiB,,166 MiB,112 MiB,117 MiB,116 MiB,262 MiB,196 MiB,82.6 MiB
2026-07-29 00:26:45,19.7 MiB,8.30 MiB,7.77 MiB,117 MiB,,166 MiB,112 MiB,117 MiB,116 MiB,259 MiB,196 MiB,82.6 MiB
2026-07-29 00:27:00,21.1 MiB,8.30 MiB,7.77 MiB,117 MiB,,167 MiB,112 MiB,117 MiB,116 MiB,259 MiB,196 MiB,89.5 MiB
