"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","focused_wilson","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peaceful_franklin","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:00:00,18.0 MiB,16.1 MiB,17.1 MiB,204 KiB,99.1 MiB,277 MiB,265 MiB,265 MiB,260 MiB,1.45 MiB,488 MiB,468 MiB,121 MiB
2026-07-30 03:00:15,17.2 MiB,16.8 MiB,17.6 MiB,204 KiB,99.1 MiB,279 MiB,268 MiB,270 MiB,260 MiB,1.45 MiB,489 MiB,470 MiB,121 MiB
2026-07-30 03:00:30,17.5 MiB,16.4 MiB,16.9 MiB,204 KiB,99.3 MiB,279 MiB,272 MiB,276 MiB,268 MiB,1.45 MiB,492 MiB,475 MiB,121 MiB
2026-07-30 03:00:45,17.5 MiB,7.42 MiB,17.3 MiB,204 KiB,99.3 MiB,109 MiB,105 MiB,293 MiB,109 MiB,1.45 MiB,498 MiB,493 MiB,121 MiB
2026-07-30 03:01:00,18.1 MiB,7.06 MiB,7.46 MiB,204 KiB,99.3 MiB,121 MiB,123 MiB,118 MiB,117 MiB,1.45 MiB,197 MiB,187 MiB,125 MiB
2026-07-30 03:01:15,21.8 MiB,7.06 MiB,7.78 MiB,204 KiB,99.3 MiB,124 MiB,125 MiB,123 MiB,117 MiB,1.45 MiB,197 MiB,190 MiB,131 MiB
2026-07-30 03:01:30,17.6 MiB,7.64 MiB,7.78 MiB,,99.3 MiB,131 MiB,129 MiB,132 MiB,131 MiB,1.45 MiB,200 MiB,202 MiB,131 MiB
2026-07-30 03:01:45,17.2 MiB,7.25 MiB,7.47 MiB,,99.1 MiB,144 MiB,141 MiB,132 MiB,145 MiB,,218 MiB,202 MiB,131 MiB
2026-07-30 03:02:00,17.9 MiB,7.32 MiB,7.46 MiB,,99.1 MiB,144 MiB,142 MiB,138 MiB,143 MiB,,219 MiB,213 MiB,131 MiB
2026-07-30 03:02:15,21.7 MiB,7.93 MiB,7.46 MiB,,99.1 MiB,143 MiB,142 MiB,140 MiB,143 MiB,,219 MiB,214 MiB,131 MiB
2026-07-30 03:02:30,19.9 MiB,7.56 MiB,7.29 MiB,,99.1 MiB,152 MiB,145 MiB,140 MiB,143 MiB,,223 MiB,214 MiB,131 MiB
2026-07-30 03:02:45,19.9 MiB,7.56 MiB,7.54 MiB,,99.1 MiB,145 MiB,144 MiB,140 MiB,144 MiB,,222 MiB,221 MiB,131 MiB
2026-07-30 03:03:00,18.4 MiB,7.78 MiB,8.07 MiB,,99.1 MiB,158 MiB,149 MiB,138 MiB,154 MiB,,238 MiB,221 MiB,131 MiB
2026-07-30 03:03:15,21.4 MiB,7.78 MiB,7.67 MiB,,99.1 MiB,160 MiB,152 MiB,138 MiB,157 MiB,,242 MiB,240 MiB,118 MiB
2026-07-30 03:03:30,19.9 MiB,8.67 MiB,8.87 MiB,,99.1 MiB,165 MiB,154 MiB,157 MiB,159 MiB,,252 MiB,241 MiB,118 MiB
2026-07-30 03:03:45,19.7 MiB,7.67 MiB,8.58 MiB,,99.1 MiB,164 MiB,154 MiB,155 MiB,156 MiB,,254 MiB,246 MiB,118 MiB
2026-07-30 03:04:00,17.1 MiB,7.67 MiB,8.58 MiB,,99.1 MiB,164 MiB,155 MiB,155 MiB,156 MiB,,244 MiB,243 MiB,125 MiB
2026-07-30 03:04:15,17.3 MiB,8.86 MiB,8.80 MiB,,99.1 MiB,162 MiB,160 MiB,158 MiB,156 MiB,,251 MiB,247 MiB,125 MiB
2026-07-30 03:04:30,22.0 MiB,8.44 MiB,8.41 MiB,,99.1 MiB,162 MiB,156 MiB,162 MiB,163 MiB,,254 MiB,249 MiB,125 MiB
2026-07-30 03:04:45,22.0 MiB,7.57 MiB,8.41 MiB,,99.1 MiB,162 MiB,157 MiB,155 MiB,158 MiB,,255 MiB,249 MiB,125 MiB
2026-07-30 03:05:00,18.6 MiB,7.57 MiB,8.26 MiB,,99.1 MiB,164 MiB,156 MiB,157 MiB,161 MiB,,256 MiB,256 MiB,125 MiB
2026-07-30 03:05:15,19.5 MiB,7.77 MiB,8.17 MiB,,99.1 MiB,164 MiB,159 MiB,157 MiB,163 MiB,,256 MiB,256 MiB,127 MiB
2026-07-30 03:05:30,21.8 MiB,7.84 MiB,8.04 MiB,,99.1 MiB,164 MiB,163 MiB,161 MiB,164 MiB,,260 MiB,256 MiB,127 MiB
2026-07-30 03:05:45,17.2 MiB,8.41 MiB,8.75 MiB,,99.1 MiB,177 MiB,165 MiB,169 MiB,174 MiB,,268 MiB,261 MiB,106 MiB
2026-07-30 03:06:00,21.5 MiB,7.93 MiB,8.11 MiB,,99.1 MiB,180 MiB,167 MiB,170 MiB,174 MiB,,268 MiB,266 MiB,106 MiB
2026-07-30 03:06:15,19.9 MiB,7.93 MiB,7.96 MiB,,99.1 MiB,179 MiB,172 MiB,172 MiB,174 MiB,,275 MiB,270 MiB,106 MiB
2026-07-30 03:06:30,18.6 MiB,7.84 MiB,8.55 MiB,,99.1 MiB,185 MiB,177 MiB,172 MiB,180 MiB,,286 MiB,272 MiB,106 MiB
2026-07-30 03:06:45,18.2 MiB,8.20 MiB,8.49 MiB,,99.0 MiB,182 MiB,175 MiB,173 MiB,178 MiB,,288 MiB,276 MiB,107 MiB
2026-07-30 03:07:00,18.0 MiB,8.20 MiB,7.86 MiB,,99.0 MiB,184 MiB,176 MiB,174 MiB,179 MiB,,288 MiB,276 MiB,107 MiB
2026-07-30 03:07:15,20.1 MiB,8.40 MiB,8.03 MiB,,99.0 MiB,186 MiB,176 MiB,177 MiB,179 MiB,,287 MiB,281 MiB,113 MiB
2026-07-30 03:07:30,19.9 MiB,8.41 MiB,8.03 MiB,,99.0 MiB,184 MiB,176 MiB,175 MiB,179 MiB,,289 MiB,282 MiB,113 MiB
2026-07-30 03:07:45,17.4 MiB,8.37 MiB,8.04 MiB,,99.0 MiB,184 MiB,176 MiB,175 MiB,181 MiB,,290 MiB,281 MiB,113 MiB
2026-07-30 03:08:00,18.1 MiB,8.99 MiB,8.69 MiB,,99.0 MiB,184 MiB,179 MiB,177 MiB,181 MiB,,292 MiB,283 MiB,113 MiB
2026-07-30 03:08:15,15.8 MiB,8.13 MiB,8.50 MiB,,99.0 MiB,186 MiB,178 MiB,178 MiB,185 MiB,,294 MiB,284 MiB,113 MiB
2026-07-30 03:08:30,17.7 MiB,8.11 MiB,8.18 MiB,,99.0 MiB,184 MiB,178 MiB,179 MiB,185 MiB,,300 MiB,296 MiB,113 MiB
2026-07-30 03:08:45,16.9 MiB,8.59 MiB,8.48 MiB,,99.2 MiB,189 MiB,186 MiB,185 MiB,175 MiB,,300 MiB,304 MiB,113 MiB
2026-07-30 03:09:00,18.3 MiB,8.94 MiB,8.93 MiB,,99.2 MiB,167 MiB,158 MiB,160 MiB,161 MiB,,318 MiB,307 MiB,113 MiB
