"Time","cadvisor","charming_mirzakhani","charming_williams","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 07:14:15,17.7 MiB,,,8.55 MiB,8.31 MiB,98.9 MiB,193 MiB,168 MiB,176 MiB,180 MiB,296 MiB,296 MiB,112 MiB
2026-07-29 07:14:30,18.9 MiB,,,7.71 MiB,8.31 MiB,98.9 MiB,182 MiB,168 MiB,170 MiB,181 MiB,299 MiB,296 MiB,112 MiB
2026-07-29 07:14:45,17.4 MiB,,,7.71 MiB,8.37 MiB,98.9 MiB,181 MiB,178 MiB,169 MiB,175 MiB,296 MiB,298 MiB,112 MiB
2026-07-29 07:15:00,18.1 MiB,,,8.29 MiB,8.37 MiB,98.9 MiB,181 MiB,178 MiB,178 MiB,177 MiB,306 MiB,305 MiB,112 MiB
2026-07-29 07:15:15,21.5 MiB,,,8.43 MiB,8.53 MiB,98.9 MiB,182 MiB,170 MiB,174 MiB,174 MiB,297 MiB,305 MiB,104 MiB
2026-07-29 07:15:30,21.5 MiB,,,8.27 MiB,8.53 MiB,98.9 MiB,182 MiB,170 MiB,179 MiB,170 MiB,297 MiB,299 MiB,104 MiB
2026-07-29 07:15:45,19.1 MiB,,,8.18 MiB,8.57 MiB,98.9 MiB,180 MiB,178 MiB,171 MiB,170 MiB,297 MiB,302 MiB,104 MiB
2026-07-29 07:16:00,18.6 MiB,,,7.75 MiB,8.57 MiB,98.9 MiB,183 MiB,172 MiB,170 MiB,174 MiB,300 MiB,303 MiB,104 MiB
2026-07-29 07:16:15,18.6 MiB,,,7.75 MiB,8.27 MiB,98.9 MiB,183 MiB,173 MiB,170 MiB,175 MiB,296 MiB,295 MiB,104 MiB
2026-07-29 07:16:30,16.8 MiB,,,8.00 MiB,7.96 MiB,99.0 MiB,183 MiB,173 MiB,169 MiB,180 MiB,296 MiB,295 MiB,104 MiB
2026-07-29 07:16:45,17.6 MiB,,,8.00 MiB,8.34 MiB,99.0 MiB,180 MiB,172 MiB,178 MiB,180 MiB,296 MiB,296 MiB,104 MiB
2026-07-29 07:17:00,18.4 MiB,,,7.98 MiB,8.06 MiB,99.0 MiB,180 MiB,173 MiB,175 MiB,176 MiB,296 MiB,299 MiB,104 MiB
2026-07-29 07:17:15,18.4 MiB,,,7.61 MiB,8.20 MiB,99.2 MiB,182 MiB,173 MiB,173 MiB,176 MiB,296 MiB,297 MiB,90.3 MiB
2026-07-29 07:17:30,20.2 MiB,,,8.16 MiB,8.82 MiB,99.4 MiB,179 MiB,169 MiB,180 MiB,177 MiB,299 MiB,297 MiB,90.3 MiB
2026-07-29 07:17:45,22.0 MiB,,,8.69 MiB,8.49 MiB,99.4 MiB,180 MiB,172 MiB,180 MiB,178 MiB,298 MiB,302 MiB,90.3 MiB
