"Time","beautiful_archimedes","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:41:45,,18.0 MiB,7.82 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,100 MiB
2026-07-30 06:42:00,,18.3 MiB,7.79 MiB,7.60 MiB,98.7 MiB,97.5 MiB,88.3 MiB,91.1 MiB,91.6 MiB,273 MiB,176 MiB,100 MiB
2026-07-30 06:42:15,,18.3 MiB,7.79 MiB,7.60 MiB,98.7 MiB,145 MiB,88.3 MiB,91.1 MiB,142 MiB,273 MiB,220 MiB,100 MiB
2026-07-30 06:42:30,,19.0 MiB,7.54 MiB,8.79 MiB,98.7 MiB,145 MiB,141 MiB,145 MiB,143 MiB,274 MiB,259 MiB,94.9 MiB
2026-07-30 06:42:45,,19.6 MiB,8.07 MiB,8.43 MiB,98.7 MiB,148 MiB,142 MiB,145 MiB,157 MiB,282 MiB,259 MiB,95.5 MiB
2026-07-30 06:43:00,,18.9 MiB,7.73 MiB,8.52 MiB,98.7 MiB,148 MiB,146 MiB,151 MiB,149 MiB,283 MiB,271 MiB,96.2 MiB
2026-07-30 06:43:15,,21.8 MiB,7.90 MiB,8.29 MiB,98.7 MiB,149 MiB,146 MiB,149 MiB,149 MiB,281 MiB,271 MiB,96.2 MiB
2026-07-30 06:43:30,,20.2 MiB,8.10 MiB,8.60 MiB,98.7 MiB,150 MiB,146 MiB,150 MiB,149 MiB,281 MiB,271 MiB,96.9 MiB
2026-07-30 06:43:45,,17.8 MiB,8.07 MiB,8.60 MiB,98.7 MiB,150 MiB,151 MiB,150 MiB,155 MiB,282 MiB,275 MiB,97.0 MiB
2026-07-30 06:44:00,,17.8 MiB,7.43 MiB,8.40 MiB,98.7 MiB,150 MiB,146 MiB,148 MiB,149 MiB,283 MiB,275 MiB,97.0 MiB
2026-07-30 06:44:15,,18.8 MiB,7.52 MiB,8.19 MiB,98.7 MiB,149 MiB,147 MiB,148 MiB,149 MiB,283 MiB,275 MiB,92.3 MiB
2026-07-30 06:44:30,,18.8 MiB,7.52 MiB,8.19 MiB,98.7 MiB,150 MiB,148 MiB,150 MiB,157 MiB,288 MiB,277 MiB,92.4 MiB
2026-07-30 06:44:45,,17.5 MiB,7.73 MiB,8.83 MiB,98.7 MiB,149 MiB,148 MiB,154 MiB,157 MiB,286 MiB,278 MiB,92.4 MiB
2026-07-30 06:45:00,,18.7 MiB,7.53 MiB,8.11 MiB,98.7 MiB,149 MiB,148 MiB,154 MiB,149 MiB,286 MiB,277 MiB,92.4 MiB
2026-07-30 06:45:15,,22.1 MiB,7.81 MiB,8.11 MiB,98.7 MiB,150 MiB,147 MiB,150 MiB,149 MiB,283 MiB,277 MiB,92.4 MiB
2026-07-30 06:45:30,,19.8 MiB,8.14 MiB,8.49 MiB,98.7 MiB,148 MiB,152 MiB,150 MiB,149 MiB,292 MiB,280 MiB,92.4 MiB
