"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","loving_brahmagupta","musing_black","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:10:45,17.5 MiB,15.6 MiB,16.9 MiB,98.2 MiB,140 KiB,1.17 MiB,246 MiB,247 MiB,239 MiB,236 MiB,450 MiB,429 MiB,116 MiB
2026-07-30 02:11:00,17.5 MiB,15.8 MiB,16.2 MiB,98.2 MiB,140 KiB,1.17 MiB,256 MiB,247 MiB,253 MiB,247 MiB,470 MiB,448 MiB,118 MiB
2026-07-30 02:11:15,18.9 MiB,16.3 MiB,16.1 MiB,98.2 MiB,140 KiB,1.17 MiB,263 MiB,261 MiB,257 MiB,247 MiB,472 MiB,448 MiB,118 MiB
2026-07-30 02:11:30,18.6 MiB,15.6 MiB,16.5 MiB,98.2 MiB,140 KiB,1.17 MiB,263 MiB,265 MiB,264 MiB,255 MiB,473 MiB,452 MiB,123 MiB
2026-07-30 02:11:45,20.3 MiB,15.9 MiB,16.2 MiB,98.0 MiB,140 KiB,1.17 MiB,270 MiB,272 MiB,264 MiB,255 MiB,480 MiB,452 MiB,123 MiB
2026-07-30 02:12:00,22.6 MiB,16.1 MiB,16.3 MiB,98.0 MiB,140 KiB,1.17 MiB,281 MiB,282 MiB,277 MiB,273 MiB,497 MiB,478 MiB,118 MiB
2026-07-30 02:12:15,22.6 MiB,16.4 MiB,16.4 MiB,98.0 MiB,140 KiB,1.17 MiB,282 MiB,284 MiB,280 MiB,278 MiB,499 MiB,478 MiB,118 MiB
2026-07-30 02:12:30,19.5 MiB,16.4 MiB,16.4 MiB,98.0 MiB,140 KiB,1.17 MiB,108 MiB,106 MiB,290 MiB,111 MiB,504 MiB,172 MiB,118 MiB
2026-07-30 02:12:45,14.8 MiB,7.45 MiB,7.61 MiB,98.0 MiB,140 KiB,1.17 MiB,113 MiB,129 MiB,128 MiB,111 MiB,180 MiB,177 MiB,118 MiB
2026-07-30 02:13:00,19.3 MiB,7.50 MiB,7.61 MiB,98.0 MiB,140 KiB,1.17 MiB,126 MiB,132 MiB,128 MiB,125 MiB,206 MiB,196 MiB,118 MiB
2026-07-30 02:13:15,22.6 MiB,7.61 MiB,8.17 MiB,98.0 MiB,,,129 MiB,136 MiB,137 MiB,125 MiB,208 MiB,199 MiB,118 MiB
2026-07-30 02:13:30,23.3 MiB,7.80 MiB,7.39 MiB,98.0 MiB,,,132 MiB,138 MiB,138 MiB,132 MiB,208 MiB,201 MiB,118 MiB
2026-07-30 02:13:45,19.1 MiB,7.44 MiB,7.39 MiB,98.0 MiB,,,132 MiB,141 MiB,139 MiB,140 MiB,217 MiB,213 MiB,118 MiB
2026-07-30 02:14:00,19.1 MiB,7.42 MiB,7.72 MiB,98.0 MiB,,,142 MiB,142 MiB,140 MiB,140 MiB,220 MiB,218 MiB,103 MiB
2026-07-30 02:14:15,18.2 MiB,7.39 MiB,8.04 MiB,98.0 MiB,,,141 MiB,140 MiB,141 MiB,140 MiB,221 MiB,218 MiB,104 MiB
2026-07-30 02:14:30,19.7 MiB,7.78 MiB,7.71 MiB,98.0 MiB,,,141 MiB,142 MiB,141 MiB,140 MiB,221 MiB,218 MiB,104 MiB
