"Time","awesome_agnesi","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","hungry_mcclintock","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 07:59:30,,18.4 MiB,8.45 MiB,8.23 MiB,98.6 MiB,,168 MiB,171 MiB,157 MiB,167 MiB,286 MiB,281 MiB,109 MiB
2026-07-30 07:59:45,,21.2 MiB,9.08 MiB,9.19 MiB,99.0 MiB,,168 MiB,171 MiB,166 MiB,159 MiB,292 MiB,284 MiB,109 MiB
2026-07-30 08:00:00,,17.7 MiB,8.43 MiB,10.2 MiB,99.0 MiB,,170 MiB,163 MiB,159 MiB,163 MiB,291 MiB,286 MiB,101 MiB
2026-07-30 08:00:15,,19.0 MiB,8.58 MiB,10.2 MiB,99.1 MiB,,170 MiB,165 MiB,161 MiB,164 MiB,291 MiB,289 MiB,101 MiB
2026-07-30 08:00:30,,20.0 MiB,8.60 MiB,8.45 MiB,99.1 MiB,,168 MiB,165 MiB,161 MiB,164 MiB,295 MiB,289 MiB,126 MiB
2026-07-30 08:00:45,,20.7 MiB,8.60 MiB,8.45 MiB,98.8 MiB,,166 MiB,167 MiB,158 MiB,165 MiB,295 MiB,295 MiB,126 MiB
2026-07-30 08:01:00,,20.5 MiB,8.94 MiB,8.67 MiB,98.8 MiB,,168 MiB,165 MiB,163 MiB,165 MiB,303 MiB,299 MiB,127 MiB
2026-07-30 08:01:15,,17.8 MiB,8.61 MiB,8.67 MiB,98.8 MiB,,168 MiB,163 MiB,160 MiB,164 MiB,307 MiB,291 MiB,127 MiB
2026-07-30 08:01:30,,17.6 MiB,9.31 MiB,8.18 MiB,98.8 MiB,,170 MiB,170 MiB,161 MiB,168 MiB,293 MiB,290 MiB,128 MiB
2026-07-30 08:01:45,,17.6 MiB,9.27 MiB,9.08 MiB,98.8 MiB,,170 MiB,170 MiB,161 MiB,163 MiB,302 MiB,295 MiB,132 MiB
2026-07-30 08:02:00,,18.7 MiB,8.97 MiB,9.42 MiB,98.8 MiB,,170 MiB,165 MiB,159 MiB,166 MiB,293 MiB,295 MiB,132 MiB
2026-07-30 08:02:15,,22.4 MiB,9.28 MiB,7.95 MiB,98.8 MiB,,170 MiB,166 MiB,163 MiB,166 MiB,305 MiB,301 MiB,139 MiB
2026-07-30 08:02:30,,22.4 MiB,8.75 MiB,9.68 MiB,98.8 MiB,,167 MiB,166 MiB,166 MiB,166 MiB,303 MiB,302 MiB,139 MiB
2026-07-30 08:02:45,,21.2 MiB,8.12 MiB,8.41 MiB,98.8 MiB,,170 MiB,165 MiB,162 MiB,164 MiB,303 MiB,284 MiB,139 MiB
2026-07-30 08:03:00,,17.6 MiB,9.37 MiB,9.07 MiB,98.8 MiB,,170 MiB,165 MiB,163 MiB,164 MiB,289 MiB,284 MiB,139 MiB
2026-07-30 08:03:15,,17.9 MiB,8.59 MiB,8.88 MiB,98.8 MiB,,169 MiB,166 MiB,160 MiB,163 MiB,292 MiB,286 MiB,139 MiB
2026-07-30 08:03:30,,17.9 MiB,8.72 MiB,8.88 MiB,98.8 MiB,,169 MiB,166 MiB,160 MiB,163 MiB,292 MiB,286 MiB,139 MiB
2026-07-30 08:03:45,,15.5 MiB,8.15 MiB,8.88 MiB,98.8 MiB,,169 MiB,166 MiB,160 MiB,163 MiB,284 MiB,286 MiB,139 MiB
2026-07-30 08:04:00,,17.8 MiB,8.16 MiB,8.88 MiB,98.8 MiB,,169 MiB,166 MiB,160 MiB,163 MiB,284 MiB,286 MiB,139 MiB
2026-07-30 08:04:15,,18.8 MiB,8.15 MiB,8.88 MiB,98.8 MiB,,169 MiB,166 MiB,160 MiB,163 MiB,264 MiB,286 MiB,123 MiB
2026-07-30 08:04:30,,23.1 MiB,8.01 MiB,8.88 MiB,98.8 MiB,,170 MiB,166 MiB,160 MiB,163 MiB,264 MiB,286 MiB,123 MiB
2026-07-30 08:04:45,,23.6 MiB,8.11 MiB,8.88 MiB,98.8 MiB,,170 MiB,166 MiB,160 MiB,163 MiB,264 MiB,286 MiB,123 MiB
2026-07-30 08:05:00,,21.4 MiB,8.40 MiB,8.88 MiB,98.8 MiB,,170 MiB,166 MiB,144 MiB,163 MiB,262 MiB,286 MiB,126 MiB
2026-07-30 08:05:15,,20.3 MiB,8.40 MiB,8.88 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,262 MiB,227 MiB,127 MiB
2026-07-30 08:05:30,,21.8 MiB,8.41 MiB,7.76 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,263 MiB,227 MiB,127 MiB
2026-07-30 08:05:45,,20.1 MiB,8.63 MiB,7.76 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,263 MiB,228 MiB,127 MiB
2026-07-30 08:06:00,,18.3 MiB,8.18 MiB,7.76 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,263 MiB,228 MiB,94.5 MiB
2026-07-30 08:06:15,,22.2 MiB,7.96 MiB,7.76 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,263 MiB,229 MiB,94.5 MiB
2026-07-30 08:06:30,,20.1 MiB,7.96 MiB,7.76 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,263 MiB,229 MiB,103 MiB
2026-07-30 08:06:45,,18.1 MiB,8.10 MiB,7.76 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,263 MiB,229 MiB,106 MiB
2026-07-30 08:07:00,,18.1 MiB,8.25 MiB,7.76 MiB,98.8 MiB,,147 MiB,140 MiB,144 MiB,135 MiB,263 MiB,172 MiB,106 MiB
2026-07-30 08:07:15,,19.3 MiB,8.15 MiB,7.79 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,263 MiB,172 MiB,106 MiB
2026-07-30 08:07:30,,19.3 MiB,7.91 MiB,7.42 MiB,98.8 MiB,,99.7 MiB,90.3 MiB,90.7 MiB,91.5 MiB,263 MiB,172 MiB,113 MiB
