"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","romantic_blackwell"
2026-07-29 01:03:30,24.6 MiB,8.10 MiB,7.98 MiB,116 MiB,174 MiB,170 MiB,168 MiB,157 MiB,244 MiB,249 MiB,115 MiB,
2026-07-29 01:03:45,21.5 MiB,8.10 MiB,7.94 MiB,116 MiB,171 MiB,172 MiB,162 MiB,161 MiB,243 MiB,246 MiB,115 MiB,
2026-07-29 01:04:00,21.5 MiB,8.60 MiB,8.61 MiB,116 MiB,171 MiB,163 MiB,164 MiB,168 MiB,245 MiB,249 MiB,115 MiB,
2026-07-29 01:04:15,23.6 MiB,7.99 MiB,8.61 MiB,116 MiB,178 MiB,164 MiB,164 MiB,168 MiB,251 MiB,251 MiB,115 MiB,
2026-07-29 01:04:30,19.8 MiB,7.84 MiB,8.16 MiB,116 MiB,173 MiB,164 MiB,172 MiB,168 MiB,248 MiB,251 MiB,115 MiB,
2026-07-29 01:04:45,19.8 MiB,7.85 MiB,7.51 MiB,116 MiB,174 MiB,164 MiB,164 MiB,161 MiB,250 MiB,254 MiB,115 MiB,
2026-07-29 01:05:00,21.3 MiB,8.07 MiB,8.16 MiB,116 MiB,174 MiB,174 MiB,168 MiB,166 MiB,250 MiB,257 MiB,115 MiB,
2026-07-29 01:05:15,21.3 MiB,7.87 MiB,8.16 MiB,116 MiB,178 MiB,178 MiB,179 MiB,172 MiB,254 MiB,260 MiB,115 MiB,
2026-07-29 01:05:30,21.6 MiB,7.87 MiB,7.83 MiB,116 MiB,174 MiB,174 MiB,172 MiB,165 MiB,258 MiB,258 MiB,101 MiB,
2026-07-29 01:05:45,20.0 MiB,7.98 MiB,7.90 MiB,116 MiB,176 MiB,174 MiB,175 MiB,173 MiB,267 MiB,258 MiB,101 MiB,
2026-07-29 01:06:00,20.6 MiB,8.06 MiB,8.41 MiB,116 MiB,175 MiB,169 MiB,171 MiB,178 MiB,259 MiB,262 MiB,101 MiB,
2026-07-29 01:06:15,20.6 MiB,7.89 MiB,7.94 MiB,116 MiB,180 MiB,172 MiB,174 MiB,169 MiB,259 MiB,262 MiB,103 MiB,
2026-07-29 01:06:30,17.8 MiB,7.81 MiB,7.77 MiB,116 MiB,178 MiB,177 MiB,178 MiB,163 MiB,264 MiB,263 MiB,103 MiB,
2026-07-29 01:06:45,21.0 MiB,8.66 MiB,8.50 MiB,116 MiB,192 MiB,177 MiB,178 MiB,172 MiB,261 MiB,264 MiB,103 MiB,
2026-07-29 01:07:00,20.4 MiB,7.57 MiB,7.73 MiB,116 MiB,182 MiB,170 MiB,177 MiB,169 MiB,261 MiB,265 MiB,103 MiB,
2026-07-29 01:07:15,21.9 MiB,7.54 MiB,8.08 MiB,116 MiB,182 MiB,172 MiB,177 MiB,172 MiB,261 MiB,265 MiB,109 MiB,
2026-07-29 01:07:30,20.5 MiB,7.59 MiB,8.08 MiB,116 MiB,174 MiB,172 MiB,167 MiB,172 MiB,263 MiB,266 MiB,106 MiB,
2026-07-29 01:07:45,20.5 MiB,7.59 MiB,8.06 MiB,116 MiB,183 MiB,179 MiB,175 MiB,174 MiB,285 MiB,272 MiB,106 MiB,
2026-07-29 01:08:00,20.5 MiB,7.95 MiB,8.06 MiB,116 MiB,183 MiB,179 MiB,177 MiB,167 MiB,281 MiB,279 MiB,106 MiB,
2026-07-29 01:08:15,21.8 MiB,8.02 MiB,9.54 MiB,116 MiB,188 MiB,174 MiB,170 MiB,169 MiB,284 MiB,282 MiB,106 MiB,
2026-07-29 01:08:30,17.7 MiB,7.73 MiB,7.95 MiB,116 MiB,182 MiB,171 MiB,170 MiB,162 MiB,284 MiB,282 MiB,106 MiB,
2026-07-29 01:08:45,20.7 MiB,7.73 MiB,7.95 MiB,116 MiB,196 MiB,172 MiB,174 MiB,168 MiB,283 MiB,286 MiB,107 MiB,
2026-07-29 01:09:00,20.6 MiB,7.86 MiB,8.43 MiB,116 MiB,181 MiB,177 MiB,168 MiB,185 MiB,306 MiB,305 MiB,106 MiB,
2026-07-29 01:09:15,21.0 MiB,7.99 MiB,9.24 MiB,116 MiB,181 MiB,172 MiB,174 MiB,178 MiB,311 MiB,292 MiB,106 MiB,
2026-07-29 01:09:30,24.0 MiB,8.20 MiB,9.24 MiB,117 MiB,202 MiB,186 MiB,180 MiB,170 MiB,296 MiB,296 MiB,105 MiB,
2026-07-29 01:09:45,21.4 MiB,8.98 MiB,8.00 MiB,117 MiB,180 MiB,178 MiB,179 MiB,179 MiB,305 MiB,292 MiB,91.3 MiB,
2026-07-29 01:10:00,21.4 MiB,8.47 MiB,8.31 MiB,117 MiB,176 MiB,173 MiB,170 MiB,177 MiB,300 MiB,300 MiB,91.3 MiB,
2026-07-29 01:10:15,20.8 MiB,8.63 MiB,10.5 MiB,117 MiB,191 MiB,180 MiB,170 MiB,169 MiB,300 MiB,297 MiB,103 MiB,
2026-07-29 01:10:30,19.4 MiB,8.20 MiB,10.5 MiB,117 MiB,177 MiB,187 MiB,180 MiB,174 MiB,306 MiB,304 MiB,103 MiB,
2026-07-29 01:10:45,19.4 MiB,8.24 MiB,8.36 MiB,117 MiB,177 MiB,187 MiB,176 MiB,177 MiB,295 MiB,296 MiB,103 MiB,
2026-07-29 01:11:00,18.5 MiB,8.65 MiB,9.96 MiB,117 MiB,191 MiB,178 MiB,176 MiB,182 MiB,303 MiB,296 MiB,103 MiB,
2026-07-29 01:11:15,18.5 MiB,8.23 MiB,9.29 MiB,117 MiB,181 MiB,176 MiB,177 MiB,182 MiB,303 MiB,296 MiB,103 MiB,
2026-07-29 01:11:30,15.4 MiB,8.30 MiB,8.23 MiB,116 MiB,181 MiB,181 MiB,179 MiB,173 MiB,311 MiB,296 MiB,104 MiB,
2026-07-29 01:11:45,18.8 MiB,8.08 MiB,8.49 MiB,115 MiB,181 MiB,169 MiB,179 MiB,182 MiB,304 MiB,296 MiB,104 MiB,
2026-07-29 01:12:00,20.4 MiB,9.14 MiB,9.02 MiB,112 MiB,181 MiB,169 MiB,176 MiB,173 MiB,306 MiB,300 MiB,104 MiB,
2026-07-29 01:12:15,17.7 MiB,9.14 MiB,9.02 MiB,111 MiB,196 MiB,187 MiB,182 MiB,181 MiB,306 MiB,300 MiB,104 MiB,
2026-07-29 01:12:30,18.7 MiB,8.30 MiB,8.65 MiB,110 MiB,188 MiB,173 MiB,184 MiB,176 MiB,287 MiB,293 MiB,104 MiB,
2026-07-29 01:12:45,18.7 MiB,8.88 MiB,9.22 MiB,110 MiB,211 MiB,180 MiB,180 MiB,177 MiB,300 MiB,293 MiB,104 MiB,
2026-07-29 01:13:00,17.1 MiB,8.72 MiB,9.22 MiB,110 MiB,212 MiB,180 MiB,180 MiB,177 MiB,300 MiB,291 MiB,104 MiB,
2026-07-29 01:13:15,18.0 MiB,8.71 MiB,9.22 MiB,110 MiB,213 MiB,180 MiB,180 MiB,177 MiB,296 MiB,291 MiB,104 MiB,
2026-07-29 01:13:30,20.7 MiB,9.40 MiB,8.74 MiB,110 MiB,214 MiB,180 MiB,180 MiB,177 MiB,269 MiB,291 MiB,104 MiB,
2026-07-29 01:13:45,20.7 MiB,8.78 MiB,8.74 MiB,110 MiB,214 MiB,180 MiB,180 MiB,177 MiB,268 MiB,291 MiB,88.4 MiB,
2026-07-29 01:14:00,18.4 MiB,8.82 MiB,8.74 MiB,110 MiB,215 MiB,180 MiB,180 MiB,177 MiB,269 MiB,291 MiB,89.0 MiB,
2026-07-29 01:14:15,18.2 MiB,8.55 MiB,8.74 MiB,110 MiB,215 MiB,180 MiB,180 MiB,177 MiB,269 MiB,291 MiB,95.9 MiB,
2026-07-29 01:14:30,18.6 MiB,8.55 MiB,8.74 MiB,110 MiB,190 MiB,180 MiB,180 MiB,177 MiB,268 MiB,291 MiB,95.9 MiB,
2026-07-29 01:14:45,17.5 MiB,8.38 MiB,8.74 MiB,110 MiB,190 MiB,165 MiB,161 MiB,117 MiB,268 MiB,222 MiB,95.9 MiB,
2026-07-29 01:15:00,17.5 MiB,8.38 MiB,8.13 MiB,110 MiB,190 MiB,165 MiB,161 MiB,117 MiB,268 MiB,222 MiB,97.1 MiB,
2026-07-29 01:15:15,17.4 MiB,8.30 MiB,8.13 MiB,110 MiB,191 MiB,165 MiB,161 MiB,117 MiB,267 MiB,222 MiB,99.4 MiB,
2026-07-29 01:15:30,18.5 MiB,8.30 MiB,8.13 MiB,110 MiB,191 MiB,165 MiB,161 MiB,117 MiB,268 MiB,222 MiB,99.4 MiB,
2026-07-29 01:15:45,21.3 MiB,8.07 MiB,8.13 MiB,110 MiB,191 MiB,165 MiB,161 MiB,117 MiB,268 MiB,222 MiB,99.5 MiB,
2026-07-29 01:16:00,18.5 MiB,7.96 MiB,8.13 MiB,110 MiB,188 MiB,165 MiB,161 MiB,117 MiB,268 MiB,222 MiB,99.5 MiB,
2026-07-29 01:16:15,19.2 MiB,8.30 MiB,8.13 MiB,110 MiB,188 MiB,165 MiB,161 MiB,117 MiB,268 MiB,222 MiB,99.5 MiB,
2026-07-29 01:16:30,17.5 MiB,8.20 MiB,8.13 MiB,111 MiB,188 MiB,165 MiB,161 MiB,117 MiB,268 MiB,222 MiB,99.5 MiB,
2026-07-29 01:16:45,17.6 MiB,8.11 MiB,8.13 MiB,111 MiB,188 MiB,98.3 MiB,98.7 MiB,95.1 MiB,268 MiB,222 MiB,112 MiB,
2026-07-29 01:17:00,17.4 MiB,8.05 MiB,7.50 MiB,111 MiB,120 MiB,98.3 MiB,98.7 MiB,95.1 MiB,268 MiB,178 MiB,112 MiB,
