"Time","cadvisor","charming_taussig","clever_vaughan","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 02:26:15,19.6 MiB,,,7.75 MiB,8.20 MiB,99.7 MiB,186 MiB,168 MiB,181 MiB,178 MiB,311 MiB,290 MiB,103 MiB
2026-07-29 02:26:30,18.4 MiB,,,8.03 MiB,8.39 MiB,99.8 MiB,183 MiB,177 MiB,182 MiB,167 MiB,311 MiB,290 MiB,102 MiB
2026-07-29 02:26:45,19.0 MiB,,,8.14 MiB,8.26 MiB,99.8 MiB,186 MiB,171 MiB,172 MiB,173 MiB,310 MiB,291 MiB,102 MiB
2026-07-29 02:27:00,19.0 MiB,,,8.41 MiB,8.09 MiB,99.8 MiB,186 MiB,171 MiB,172 MiB,175 MiB,312 MiB,292 MiB,102 MiB
2026-07-29 02:27:15,19.9 MiB,,,8.41 MiB,8.04 MiB,99.8 MiB,191 MiB,172 MiB,169 MiB,167 MiB,310 MiB,294 MiB,102 MiB
2026-07-29 02:27:30,21.0 MiB,,,8.21 MiB,7.73 MiB,99.8 MiB,184 MiB,175 MiB,181 MiB,174 MiB,315 MiB,303 MiB,102 MiB
2026-07-29 02:27:45,19.2 MiB,,,9.29 MiB,8.39 MiB,99.8 MiB,182 MiB,187 MiB,185 MiB,174 MiB,328 MiB,303 MiB,102 MiB
2026-07-29 02:28:00,20.2 MiB,,,8.20 MiB,7.80 MiB,99.8 MiB,191 MiB,173 MiB,178 MiB,170 MiB,328 MiB,309 MiB,102 MiB
2026-07-29 02:28:15,21.7 MiB,,,8.02 MiB,7.80 MiB,99.8 MiB,191 MiB,173 MiB,180 MiB,182 MiB,306 MiB,288 MiB,102 MiB
2026-07-29 02:28:30,18.3 MiB,,,7.87 MiB,8.46 MiB,99.8 MiB,182 MiB,192 MiB,181 MiB,182 MiB,305 MiB,288 MiB,102 MiB
2026-07-29 02:28:45,18.3 MiB,,,8.45 MiB,8.56 MiB,99.8 MiB,189 MiB,182 MiB,187 MiB,177 MiB,305 MiB,290 MiB,102 MiB
2026-07-29 02:29:00,20.1 MiB,,,8.10 MiB,8.66 MiB,99.8 MiB,197 MiB,192 MiB,187 MiB,183 MiB,309 MiB,290 MiB,103 MiB
2026-07-29 02:29:15,17.7 MiB,,,8.70 MiB,8.66 MiB,99.8 MiB,195 MiB,177 MiB,186 MiB,185 MiB,309 MiB,296 MiB,104 MiB
2026-07-29 02:29:30,19.3 MiB,,,8.70 MiB,8.07 MiB,99.8 MiB,189 MiB,189 MiB,178 MiB,185 MiB,324 MiB,294 MiB,104 MiB
2026-07-29 02:29:45,19.2 MiB,,,8.05 MiB,8.07 MiB,99.8 MiB,196 MiB,171 MiB,176 MiB,177 MiB,323 MiB,294 MiB,104 MiB
2026-07-29 02:30:00,19.2 MiB,,,8.52 MiB,8.64 MiB,99.8 MiB,196 MiB,182 MiB,176 MiB,184 MiB,309 MiB,306 MiB,104 MiB
2026-07-29 02:30:15,21.0 MiB,,,8.14 MiB,8.27 MiB,99.8 MiB,189 MiB,182 MiB,175 MiB,178 MiB,310 MiB,306 MiB,104 MiB
2026-07-29 02:30:30,17.7 MiB,,,8.79 MiB,8.28 MiB,99.8 MiB,197 MiB,185 MiB,179 MiB,190 MiB,313 MiB,297 MiB,104 MiB
2026-07-29 02:30:45,21.7 MiB,,,8.36 MiB,8.38 MiB,99.8 MiB,180 MiB,172 MiB,173 MiB,176 MiB,315 MiB,297 MiB,90.3 MiB
2026-07-29 02:31:00,21.5 MiB,,,8.71 MiB,8.84 MiB,99.8 MiB,189 MiB,172 MiB,181 MiB,197 MiB,328 MiB,302 MiB,90.3 MiB
2026-07-29 02:31:15,21.5 MiB,,,8.93 MiB,8.85 MiB,99.8 MiB,182 MiB,178 MiB,181 MiB,177 MiB,328 MiB,309 MiB,90.3 MiB
2026-07-29 02:31:30,18.3 MiB,,,8.86 MiB,9.16 MiB,99.8 MiB,200 MiB,187 MiB,179 MiB,186 MiB,347 MiB,311 MiB,90.3 MiB
2026-07-29 02:31:45,18.0 MiB,,,8.75 MiB,9.16 MiB,99.8 MiB,200 MiB,187 MiB,173 MiB,184 MiB,347 MiB,297 MiB,90.3 MiB
2026-07-29 02:32:00,18.8 MiB,,,8.75 MiB,8.87 MiB,99.8 MiB,193 MiB,179 MiB,180 MiB,184 MiB,320 MiB,296 MiB,96.3 MiB
