"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","youthful_cray","zen_agnesi"
2026-07-29 03:04:30,19.8 MiB,7.64 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,186 MiB,108 MiB,,
2026-07-29 03:04:45,17.8 MiB,7.57 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,186 MiB,108 MiB,,
2026-07-29 03:05:00,18.2 MiB,7.83 MiB,6.88 MiB,98.9 MiB,122 MiB,114 MiB,108 MiB,112 MiB,277 MiB,186 MiB,108 MiB,,
2026-07-29 03:05:15,18.6 MiB,7.83 MiB,8.07 MiB,98.9 MiB,147 MiB,114 MiB,128 MiB,112 MiB,294 MiB,267 MiB,108 MiB,,
2026-07-29 03:05:30,20.2 MiB,7.66 MiB,8.17 MiB,98.9 MiB,179 MiB,144 MiB,144 MiB,139 MiB,294 MiB,297 MiB,108 MiB,,
2026-07-29 03:05:45,21.5 MiB,7.50 MiB,8.17 MiB,98.9 MiB,204 MiB,163 MiB,144 MiB,158 MiB,300 MiB,300 MiB,108 MiB,,
2026-07-29 03:06:00,20.3 MiB,7.50 MiB,8.21 MiB,98.9 MiB,205 MiB,163 MiB,185 MiB,188 MiB,300 MiB,300 MiB,109 MiB,,
2026-07-29 03:06:15,19.4 MiB,7.45 MiB,7.60 MiB,98.9 MiB,210 MiB,195 MiB,185 MiB,189 MiB,300 MiB,305 MiB,109 MiB,,
2026-07-29 03:06:30,17.6 MiB,8.32 MiB,7.79 MiB,98.9 MiB,211 MiB,202 MiB,194 MiB,194 MiB,302 MiB,305 MiB,109 MiB,,
2026-07-29 03:06:45,17.7 MiB,7.58 MiB,7.86 MiB,98.9 MiB,211 MiB,202 MiB,194 MiB,202 MiB,303 MiB,305 MiB,110 MiB,,
2026-07-29 03:07:00,19.8 MiB,7.42 MiB,7.77 MiB,98.9 MiB,211 MiB,203 MiB,197 MiB,203 MiB,304 MiB,305 MiB,110 MiB,,
2026-07-29 03:07:15,20.5 MiB,7.82 MiB,7.70 MiB,98.9 MiB,211 MiB,203 MiB,197 MiB,205 MiB,306 MiB,306 MiB,110 MiB,,
2026-07-29 03:07:30,19.4 MiB,7.92 MiB,7.58 MiB,98.9 MiB,212 MiB,206 MiB,197 MiB,205 MiB,307 MiB,306 MiB,110 MiB,,
2026-07-29 03:07:45,20.8 MiB,7.92 MiB,7.58 MiB,98.9 MiB,207 MiB,207 MiB,188 MiB,203 MiB,307 MiB,306 MiB,110 MiB,,
2026-07-29 03:08:00,18.2 MiB,7.57 MiB,7.33 MiB,98.9 MiB,207 MiB,189 MiB,188 MiB,199 MiB,309 MiB,307 MiB,110 MiB,,
2026-07-29 03:08:15,18.6 MiB,7.64 MiB,7.18 MiB,98.9 MiB,206 MiB,192 MiB,188 MiB,199 MiB,313 MiB,311 MiB,110 MiB,,
2026-07-29 03:08:30,18.2 MiB,7.64 MiB,7.41 MiB,98.9 MiB,206 MiB,192 MiB,189 MiB,201 MiB,315 MiB,312 MiB,110 MiB,,
2026-07-29 03:08:45,21.3 MiB,7.73 MiB,7.42 MiB,98.9 MiB,207 MiB,192 MiB,189 MiB,205 MiB,316 MiB,314 MiB,110 MiB,,
